perfil_id,data_admissao,posicao_atual
0,2011-09,CEO AND FOUNDER
1,2017-07,PRODUCT MANAGER
2,2016-11,FULL STACK DEVELOPER
3,2017-08,CRM ANALYST
4,2017-03,SALES OPERATIONS COORDINATOR
5,2016-07,KEY ACCOUNT MANAGER
6,2016-11,SOFTWARE ENGINEER AND DATA SCIENTIST | DATA ENGINEER
7,2017-04,APREDIZ ADMINISTRATIVO
8,2011-01,FOUNDER AND CFO
9,2016-08,SALES OPERATIONS MANAGER
10,2017-05,HEAD OF IN-STORE OPERATION
11,2016-07,PEOPLE CONSULTANT | KEY ACCOUNT MANAGER
12,2017-03,OPERACOES ERP | TIME DE EXPANSAO
13,2017-08,ESTAGIARIA DE CRM
14,2017-05,PRODUCT MANAGER
15,2017-03,KEY ACCOUNT
16,2017-09,HEAD OF PEOPLE
17,2017-03,PUBLIC RELATIONS INTERN | CUSTOMER SUCCESS INTERN
18,2017-07,TRADE MARKETING ANALYST
19,2017-03,CUSTOMER SUCCESS - INTERN
20,2017-01,TIME DE EXPANSAO
21,2017-02,ONBOARDING COORDINATOR
22,2016-10,ANALISTA DE DP
23,2017-01,DIRETORA DE ARTE
24,2016-08,ENGENHEIRO DE SOFTWARE
25,2017-01,COSTOMER SUCCESS
26,2017-02,CUSTOMER SUCESS ANALYST
27,2017-03,ESTAGIARIA DE CUSTOMER SUCCESS
28,2017-05,COORDENADORA DE BRANDING
29,2016-10,LEAD SOFTWARE DEVELOPER
30,2017-03,CUSTOMER SUCCESS
31,2016-07,FULL STACK ENGINEER
32,2017-02,KEY ACCOUNT MANAGER | BUSINESS SALES EXECUTIVE
33,2013-10,"LEAD PRODUCT DESIGNER, PARTNER"
34,2016-07,PRODUCT MANAGER
35,2012-12,ENGENHEIRO DE SOFTWARE SENIOR
36,2017-03,CUSTOMER SUCCESS
37,2016-01,SOFTWARE DEVELOPER
38,2015-04,ARQUITETO DE SOLUCOES | ENGENHEIRO DE SOFTWARE
39,2016-10,BUSINESS INTELLIGENCE AND DATA ANALYST
40,2016-03,TECH LEADER
41,2015-11,ANALISTA FINANCEIRO | ESTAGIARIA DE FINANCAS
42,2017-07,ANALISTA FINANCEIRO
43,2016-10,ANALISTA DE CONTROLADORIA
44,2017-08,SOFTWARE ARCHITECT
45,2017-05,DESENVOLVEDOR JUNIOR
46,2016-10,SOFTWARE DEVELOPER
47,2016-10,TALENT ACQUISITION
48,2017-01,GESTORA DO TIME DE PESSOAS - RESPONSAVEL POR R&S E T&D
49,2015-03,SENIOR UX DESIGNER
50,2017-01,DIRECTOR OF MARKETING
51,2015-03,COO
52,2017-07,PRODUCT GROWTH MANAGER
53,2017-01,CREATIVE DESIGNER
54,2014-04,HEAD OF CUSTOMER SUCCESS
55,2017-08,PURCHASING ANALYST
56,2016-12,ESTAGIO EM MARKETING CRM
57,2017-03,COORDENADORA DE CS
58,2017-03,ANALISTA DE DP
59,2016-12,ESTAGIARIA DO FINANCEIRO
60,2017-03,HEAD OF DATA ANALYTICS
61,2016-08,COMMERCIAL ANALYST
62,2017-06,HEAD OF COMMERCIAL
63,2017-08,ANALISTA DE TECNOLOGIA DA INFORMACAO
64,2015-03,ANALISTA FINANCEIRO
65,2014-11,PEOPLE CONSULTANT | PROGRAMADOR FRONT END
66,2016-11,BUSINESS DEVELOPMENT MANAGER
67,2014-10,CUSTOMER SUCCESS
68,2015-11,HEAD OF TROJAN TECHNOLOGIES IN-STORE
69,2016-07,TRADE MARKETING
70,2017-07,SALES OPERATIONS ANALYST
71,2016-11,ESTAGIARIA DE MARKETING
72,2015-08,COORDENADOR DE MARKETING
73,2016-10,ANDROID DEVELOPER
74,2017-03,COMMERCIAL
75,2017-02,GERENTE DE OPERACOES
76,2016-10,TRADE MARKETING
77,2016-03,KEY ACCOUNT MANAGER
78,2016-10,HEAD OF PRODUCT DESIGN - UXP
79,2017-02,LEAD SOFTWARE DEVELOPER
80,2016-10,SOFTWARE TEST DEVELOPER II
81,2016-10,FINANCE DIRECTOR
82,2017-07,DESENVOLVEDOR JR
83,2017-02,DESENVOLVEDOR JUNIOR
84,2016-10,DESENVOLVEDOR PLENO I
85,2017-04,IOS DEVELOPER
86,2016-10,SOFTWARE DEVELOPER
87,2016-10,DESENVOLVEDORA DE SOFTWARE
88,2016-10,SOFTWARE DEVELOPER
89,2017-03,TIME DE EXPANSAO LOCAL
90,2016-03,DATA ENGINEER BI AND DATA ANALYST
91,2017-06,ESPECIALISTA EM MARKETING DE PERFORMANCE
92,2014-08,ANALISTA DE ATENDIMENTO
93,2017-03,EXECUTIVO DE VENDAS
94,2017-04,HEAD OF SALES
95,2017-08,HEAD OF STRATEGY
96,2017-06,BUSINESS DEVELOPER + PRODUCT MANAGER
97,2017-03,EXECUTIVO COMERCIAL SENIOR
98,2017-05,INSIDE SALES
99,2017-01,GERENTE REGIONAL RIO DE JANEIRO
100,2017-03,COORDENADOR COMERCIAL
101,2017-02,GERENTE COMERCIAL SAO PAULO
102,2017-02,EXECUTIVA DE CONTAS
103,2017-01,GERENTE COMERCIAL E OPERACOES REGIONAL CENTRO-OESTE
104,2017-03,SALES EXECUTIVE
105,2017-07,SOFTWARE ARCHITECT
106,2017-03,EXECUTIVO DE VENDAS
107,2017-06,ANALISTA DE MARKETING
109,2017-03,GERENTE REGIONAL SUL
110,2017-02,SOFTWARE DEVELOPER
